user,mac,staylength
30121,52611,688
32178,29364,688
31166,12700,653
23526,53677,607
31318,40744,577
25168,22961,522
36189,53669,521
27525,56270,502
17277,18809,472
21163,44069,414
25962,6874,393
23318,31601,392
12205,43481,389
31166,11597,372
15714,55306,342
14259,17272,320
8594,47140,312
25019,17995,299
27822,25915,299
776,5059,265
3216,33109,255
21153,22964,255
4396,16587,253
21352,5214,161
4931,45630,138
18489,42437,138
28729,29265,138
28729,13412,115
31780,54896,115
1454,24089,69
10204,11703,69
15861,17013,69
18645,32175,69
26539,52876,69
52156,12156,68
405,45614,67
8987,53903,47
563,26236,46
9981,7345,46
16500,48458,46
21163,48849,46
23518,62546,46
25913,60177,46
26152,61221,46
27525,15405,46
9378,23926,31
7233,22112,28
18013,19492,27
22485,18775,25
11965,4131,24
21460,36147,24
33695,5429,24
2391,22421,23
3216,9250,23
5468,61519,23
8987,36307,23
10204,38667,23
14631,14701,23
16139,62346,23
16500,18819,23
17905,56484,23
18927,48018,23
20181,8407,23
26475,3583,23
28729,36208,23
31483,34612,23
35310,44325,23
35745,50585,23
5133,38612,21
1774,56168,18
6683,38232,18
15616,53108,16
17857,50893,16
1762,24851,15
12811,45978,15
20787,46789,15
37438,53104,15
1872,33321,14
35645,35304,14
7060,51799,13
17857,7732,13
23718,18858,13
28504,36688,13
34591,16733,13
693,52205,12
766,41881,12
14048,8145,12
19551,13373,12
30352,44473,12
31181,30745,12
2591,38899,11
15409,19495,11
27576,4260,11
30469,63279,11
30847,39393,11
33691,33404,11
34468,62350,11
693,8521,10
1339,41479,10
8146,7045,10
10071,23607,10
12525,19750,10
13629,41288,10
14211,530,10
15118,15321,10
15783,58530,10
19796,7199,10
19868,26885,10
22433,18023,10
27094,15813,10
29912,3618,10
30507,24578,10
33418,44710,10
34061,21694,10
35242,28487,10
3182,13850,9
6822,30611,9
7507,51214,9
12149,26569,9
12551,7882,9
13712,18335,9
15054,6872,9
15112,39160,9
18560,46486,9
29593,23739,9
30070,35710,9
32239,12813,9
33891,13398,9
34291,1005,9
36357,59412,9
17,12439,8
44,58653,8
2333,55190,8
2644,9578,8
7316,18171,8
8433,5428,8
9493,33253,8
9743,12509,8
9997,9450,8
12826,33802,8
15054,15311,8
15197,2537,8
16456,50960,8
16490,10400,8
17062,58771,8
17270,29479,8
17684,17606,8
19488,7225,8
19551,6887,8
19868,44017,8
20432,11275,8
20783,17267,8
23885,21168,8
26445,59591,8
28967,55811,8
29444,45809,8
31030,47578,8
32028,26834,8
32186,28423,8
32297,15083,8
32393,36815,8
33214,33629,8
34061,61088,8
35518,52114,8
36210,48917,8
347,19975,7
648,31117,7
764,1525,7
1018,23929,7
1018,46009,7
2285,57764,7
2511,59856,7
3352,50118,7
4513,20063,7
4754,35589,7
5186,6112,7
5496,48091,7
5563,26872,7
5938,55170,7
6655,57134,7
6660,23288,7
7898,58729,7
8322,50169,7
8709,60093,7
10815,22561,7
11637,31348,7
11691,20983,7
13007,29496,7
13111,55702,7
14048,27700,7
15033,38512,7
15565,37828,7
15716,7106,7
16942,34260,7
17393,23223,7
17414,41719,7
17468,26006,7
17563,4267,7
18476,53111,7
18668,25613,7
19602,14870,7
19705,23207,7
19881,19611,7
20912,7594,7
21919,36624,7
22088,4971,7
24876,4599,7
25020,38827,7
28131,28544,7
28582,57729,7
28763,7598,7
28967,59001,7
29349,25265,7
29685,19298,7
29930,46686,7
30119,46773,7
30282,32314,7
30562,27016,7
31775,11660,7
32393,35886,7
32418,51259,7
32684,6892,7
32697,56643,7
32781,10130,7
33837,6911,7
34477,59059,7
34627,2004,7
34664,40470,7
36178,56402,7
59,28578,6
347,16631,6
637,2971,6
687,60945,6
697,14538,6
758,3970,6
847,45603,6
880,41858,6
887,5072,6
958,55085,6
1348,810,6
1469,36692,6
1536,34526,6
1678,57022,6
1786,27899,6
2171,30870,6
2536,37024,6
3327,29643,6
3352,63232,6
3473,35159,6
3762,37364,6
4259,57568,6
4850,62801,6
5559,9872,6
5951,15088,6
6316,55162,6
6317,6493,6
6321,14023,6
6519,6336,6
6608,37277,6
6660,58239,6
6783,4225,6
7060,43734,6
7566,6534,6
7566,41393,6
7629,52368,6
8005,54355,6
8036,12551,6
8036,35817,6
8337,63271,6
8358,9342,6
8409,10548,6
8409,15961,6
8690,37885,6
8728,20767,6
9003,8044,6
9697,9063,6
9997,38817,6
10510,38651,6
10597,6989,6
10628,4334,6
11068,19172,6
11433,40883,6
11443,26030,6
11713,16995,6
11779,55898,6
12094,5932,6
12645,62750,6
12885,55823,6
13412,4925,6
13802,50541,6
14178,1354,6
14222,10656,6
14677,51896,6
14677,53920,6
15141,20455,6
15493,30627,6
15643,42239,6
15741,51736,6
16006,14728,6
16018,3621,6
16060,40114,6
16510,53715,6
16513,14740,6
16714,1846,6
16789,24440,6
16789,31537,6
17077,8927,6
17736,11576,6
17736,42855,6
17757,23715,6
17857,24986,6
18013,17912,6
19606,12677,6
19806,5149,6
20111,53433,6
20783,28745,6
20912,23189,6
21142,3500,6
21159,32498,6
21171,17433,6
21287,52797,6
21983,20805,6
22755,16477,6
22825,10081,6
23523,506,6
23563,54091,6
23718,32196,6
23934,37529,6
24346,14110,6
24346,54732,6
24550,27708,6
25175,47416,6
25175,54502,6
25674,13517,6
25873,56618,6
25932,53093,6
26227,9567,6
26516,62103,6
27304,43763,6
27418,22767,6
27774,28414,6
27806,3266,6
27989,59297,6
28348,8820,6
28357,5722,6
28402,12499,6
28468,22672,6
28772,35423,6
29293,3591,6
29293,9247,6
29822,33066,6
30001,11419,6
30113,51785,6
30126,44811,6
30469,27693,6
30672,27773,6
30728,37716,6
30921,60579,6
31030,27973,6
31090,57084,6
31223,60802,6
31441,21540,6
31523,9129,6
31940,5705,6
32046,2323,6
32239,60686,6
32418,8979,6
32773,32261,6
32880,56509,6
33465,50369,6
33646,13111,6
33935,35458,6
34092,44938,6
34268,41036,6
34591,36049,6
34664,60715,6
34738,32574,6
34745,38378,6
35074,14250,6
35863,7724,6
35893,18059,6
36183,25898,6
17,36266,5
59,23603,5
102,29484,5
398,29972,5
451,31574,5
697,8376,5
711,18474,5
764,7533,5
895,48730,5
1469,44423,5
1536,27988,5
1762,43919,5
1786,61929,5
1796,48453,5
1913,46346,5
1914,13647,5
1970,48283,5
2217,50176,5
2346,18779,5
2347,5710,5
2501,40239,5
2508,25206,5
2644,46488,5
2645,18442,5
2818,385,5
2927,59164,5
3141,38695,5
3277,17656,5
3327,11156,5
3366,59399,5
3416,61322,5
3473,34374,5
3723,37544,5
3725,28709,5
3953,41525,5
4030,49145,5
4063,53085,5
4169,32323,5
4358,38486,5
4439,6680,5
4629,1556,5
4754,45328,5
4975,17594,5
5214,53756,5
5229,26786,5
5382,26829,5
5603,12063,5
5617,19698,5
5645,5617,5
5726,16025,5
5785,33227,5
6211,4840,5
6256,37535,5
6410,14244,5
6532,39265,5
6599,10813,5
6599,40515,5
6802,61825,5
6913,41673,5
7079,16665,5
7079,53936,5
7105,5121,5
7105,55271,5
7121,3111,5
7121,52116,5
7233,30184,5
7265,4263,5
7528,7630,5
7529,33888,5
7529,60701,5
7619,60152,5
7625,11719,5
7625,47851,5
7789,6835,5
7840,18124,5
7865,16814,5
7963,23486,5
8034,33432,5
8069,62243,5
8146,23045,5
8258,61890,5
8409,40844,5
8433,58262,5
8492,148,5
8719,6655,5
8781,27538,5
8784,49872,5
8889,37992,5
8922,62594,5
8935,30151,5
8956,29538,5
9003,41513,5
9141,26706,5
9187,25868,5
9242,58748,5
9370,30536,5
9390,17447,5
9571,52564,5
9949,23957,5
9949,59411,5
10071,60217,5
10462,51917,5
10596,53956,5
11068,13625,5
11083,43454,5
11391,62277,5
11433,55983,5
11443,47855,5
11713,52725,5
11779,36455,5
11899,7279,5
11940,890,5
11940,15183,5
12086,26033,5
12086,35602,5
12102,18254,5
12149,32547,5
12363,1425,5
12405,23326,5
12551,57089,5
12573,7092,5
12617,10612,5
12645,23015,5
12964,7084,5
13140,21761,5
13152,10325,5
13159,1473,5
13412,50704,5
13828,32767,5
13843,18106,5
13921,40732,5
13931,40288,5
14084,61523,5
14178,28330,5
14274,42897,5
14392,49432,5
14463,20263,5
14532,611,5
14647,32779,5
14647,38706,5
