user,mac,staylength
14370,19065,6271
22834,7856,5902
26555,44912,5455
18877,44258,4761
34295,27707,3886
33523,13499,3838
17974,16324,3055
14723,28561,3006
4377,61335,2633
29284,3132,2632
29271,11831,2631
11102,27054,2572
14303,56154,2513
18253,54146,2509
29691,20894,2479
30858,50231,2433
9153,19038,2332
25862,46938,2216
30894,59115,2173
32900,42592,2070
13461,32211,2067
7137,47964,1997
31815,36886,1948
14409,41396,1923
5236,11874,1891
16330,58923,1883
4144,47136,1689
23173,37951,1674
27562,28779,1668
7953,7587,1627
25522,36051,1541
2981,46659,1513
29996,61406,1482
11665,51289,1459
14058,45722,1411
7389,41010,1356
31132,16955,1328
25457,9197,1304
35334,22240,1289
19533,3434,1251
7503,10110,1219
342,35309,1216
14611,14085,1154
30804,19899,1132
34728,44318,1130
34627,19992,1092
2176,44879,1087
17032,31452,1086
7950,4190,1085
22797,22579,1079
31271,22237,1078
35557,2718,1078
35475,57725,1058
19669,51011,1047
33986,2479,1038
14720,51175,1035
24624,32077,1011
27329,25839,1001
15247,59316,996
21921,43046,966
4677,7923,948
30407,23411,944
13521,62419,915
6164,40,911
37143,39600,898
13992,32207,889
6626,46758,882
8500,22164,862
36049,6862,860
28704,20161,859
23203,39153,845
22718,22978,844
7025,23642,821
6822,30611,807
8860,17580,804
10284,21419,803
30531,1932,798
11625,27050,785
34599,29741,781
16238,31305,769
17783,3678,756
27227,2843,752
27074,46409,745
36558,28789,725
17563,4267,722
24248,59067,719
15643,42239,710
33593,26373,710
31351,31762,707
1872,33321,697
24185,47894,695
10164,62752,689
17627,14514,677
17318,8574,659
16845,52589,654
27315,29475,651
13629,41288,649
4723,62739,647
18204,49101,647
30294,20830,646
8852,11455,645
19526,39702,642
14311,31647,637
20252,25313,637
6802,35957,633
6238,402,629
6736,23765,626
35898,37679,626
10665,20071,624
23698,5623,624
25356,47138,618
15551,28467,605
21114,33323,599
4122,5437,598
2598,8302,596
33547,21066,595
2644,9578,592
21811,33372,588
12271,21667,587
12208,10550,586
24790,21866,586
37143,45750,586
27355,15997,583
24790,34637,578
15551,57853,566
7325,29829,565
30496,34820,561
30407,19855,559
34795,40006,558
36713,22456,557
6802,61825,556
26130,55526,554
31351,55954,551
3290,22641,548
35402,47309,548
30282,28038,547
24476,5818,543
34844,38742,543
12271,12171,542
7689,146,540
10665,53414,534
17765,47646,532
19162,61739,531
10284,54482,530
14735,36288,530
25710,58796,530
22025,10776,527
30887,2088,527
8671,19866,526
29444,45809,525
10292,14785,518
14416,45659,516
22501,33005,516
2014,27614,515
6574,58630,515
22335,31011,515
21475,8701,514
28606,16795,514
34110,44205,514
2088,5779,511
32970,2160,510
29930,46686,509
5734,16536,507
20237,29035,507
18204,21953,505
21563,26729,504
16512,13342,503
21361,26280,503
21164,23695,502
21685,41181,501
27843,51577,501
6317,6493,500
30204,6061,500
35840,39610,500
18248,11813,498
1859,18279,497
17309,63088,497
30282,32314,497
32153,44483,495
30362,34867,490
12567,12766,489
13629,10227,486
36713,23119,485
10052,62653,482
