user,mac,staylength
19050,26893,2489
33539,49081,1607
32224,22103,1534
5037,50762,1147
20587,18394,1146
15203,44070,1129
5417,30795,1052
13054,27436,1003
12845,3718,961
27835,34597,523
3321,43417,482
28893,21242,480
7137,47964,336
36163,23840,280
23805,57269,221
19900,7489,194
12151,20473,192
4012,5273,144
10244,5974,144
1779,43952,143
7137,33810,101
12260,57079,96
31525,7449,96
34607,14819,49
7137,14275,48
10204,22038,48
17653,63054,48
44038,4038,48
27974,55885,33
31113,19595,31
27974,15097,30
1872,33321,27
32051,41702,26
22166,41492,25
23080,37541,25
25674,13517,25
27413,40968,24
14416,45659,23
33226,35211,23
7646,55418,22
10510,38651,22
31236,27492,22
35006,54538,22
13868,61291,21
13945,52229,21
21277,2461,21
23948,35637,21
26313,62461,21
24849,24659,20
29059,23273,20
32881,54691,20
16006,14728,19
18221,32520,19
18989,52072,19
2014,27614,18
7197,42184,18
12271,21667,18
14115,2785,18
16238,31305,18
23037,40444,18
27475,62984,18
30740,46908,18
20912,7594,17
20948,34305,17
27576,4260,17
29968,28306,17
8766,19079,16
10052,62653,16
12250,31876,16
15551,28467,16
16616,4133,16
19868,26885,16
20279,53224,16
24068,55487,16
26868,43895,16
29594,27893,16
29884,55738,16
36794,2829,16
1205,5138,15
2654,19803,15
6312,44961,15
13445,40228,15
16061,9199,15
37231,44098,15
758,3970,14
2904,50359,14
14412,23711,14
20052,35457,14
28312,22830,14
30502,18522,14
32860,59333,14
34023,13588,14
1859,18279,13
3555,31083,13
17093,52712,13
19488,7225,13
19551,13373,13
19832,58109,13
20237,29035,13
20561,31512,13
22090,38924,13
22963,22346,13
23409,27701,13
23592,53578,13
23959,1666,13
26919,21849,13
28655,24629,13
33152,60212,13
33181,18346,13
36846,49479,13
37143,39600,13
8,37486,12
4276,8925,12
5084,27168,12
7099,18239,12
7470,53562,12
9180,10892,12
10665,20071,12
12245,35610,12
17073,19345,12
17725,58446,12
17833,18375,12
18346,53506,12
19564,13968,12
22575,48172,12
24026,1498,12
24424,53577,12
24540,42950,12
25643,13214,12
27094,15813,12
28924,33795,12
29594,28609,12
30222,57952,12
30887,57378,12
32579,26610,12
34110,44205,12
35141,9424,12
36005,58624,12
36990,2593,12
1536,27988,11
2202,47324,11
2285,57764,11
4441,25447,11
6317,6493,11
7223,41083,11
8409,40844,11
10203,11416,11
11270,30780,11
12919,2101,11
13802,52084,11
14108,7477,11
14662,29137,11
15033,38512,11
15631,6905,11
16176,26954,11
20148,38585,11
20432,28743,11
20538,54731,11
20607,11961,11
20754,60434,11
23025,53468,11
25301,3942,11
26738,57745,11
27475,4027,11
28610,34107,11
30242,61112,11
31090,36616,11
31350,56884,11
32154,8473,11
33465,50369,11
35840,39610,11
36167,24078,11
1010,28895,10
3024,20231,10
3366,60977,10
3640,42074,10
4292,24667,10
6243,32222,10
6323,60040,10
7060,51799,10
7689,146,10
8781,9039,10
8851,37236,10
9313,11058,10
9697,9063,10
9897,8216,10
9930,61512,10
10930,25423,10
11391,62277,10
11940,15183,10
12475,45513,10
12631,32654,10
13521,62419,10
15383,17549,10
16418,24764,10
16490,10400,10
16903,29525,10
17318,8574,10
17360,51034,10
17490,32737,10
17626,22359,10
18051,48635,10
18816,37067,10
19162,61739,10
19758,24024,10
20111,53433,10
20442,31026,10
21443,61784,10
21829,48804,10
22145,38815,10
23730,16186,10
23788,40941,10
25383,6522,10
25686,50725,10
26131,61177,10
27536,39855,10
28390,56324,10
28553,11578,10
30499,5784,10
30847,39393,10
30959,14179,10
32169,35510,10
32197,37279,10
32766,46637,10
32970,2160,10
33263,43788,10
33305,53992,10
33795,5028,10
34070,10012,10
34506,952,10
35575,61350,10
37289,42227,10
37364,31678,10
264,20299,9
622,15032,9
1486,6147,9
1931,21488,9
2491,52727,9
3357,18889,9
4238,21936,9
4957,54955,9
5845,37729,9
6190,16925,9
6238,402,9
6411,1389,9
6889,34819,9
7166,50958,9
7280,32489,9
7789,31313,9
8396,61025,9
9019,22614,9
9390,17447,9
9425,31947,9
9591,16994,9
9916,54999,9
13310,40487,9
14589,57760,9
15412,42243,9
15857,48428,9
16267,28172,9
16739,16511,9
16866,27354,9
18463,6577,9
18476,53111,9
19414,57359,9
19946,10001,9
20432,11275,9
20864,15771,9
20895,30851,9
21052,31413,9
21563,26729,9
22309,51033,9
22427,54389,9
23025,26663,9
24358,43687,9
24371,49244,9
25420,57402,9
25925,10893,9
26382,19556,9
27217,2490,9
27315,29475,9
27317,6150,9
27536,15863,9
27808,19346,9
28885,36416,9
28963,40977,9
29682,7993,9
29968,46139,9
30515,63128,9
30599,49427,9
33642,60543,9
33646,13111,9
33667,27217,9
33836,305,9
34383,21588,9
34682,13035,9
35029,31517,9
35430,36925,9
35729,55673,9
35803,45766,9
36001,44717,9
36558,26421,9
36782,34626,9
37363,62163,9
758,60372,8
1462,46266,8
1490,7718,8
1604,12984,8
1781,13206,8
2482,12761,8
2578,13642,8
3277,17656,8
3331,56063,8
4241,37928,8
4432,11740,8
4607,18950,8
4957,15953,8
5021,2575,8
5168,17078,8
5436,20838,8
5814,54957,8
6802,61825,8
7133,45979,8
7311,59138,8
7426,8719,8
7969,30314,8
8345,27348,8
8852,11455,8
9164,51082,8
9192,53460,8
9872,17720,8
9931,22841,8
10216,10995,8
10454,20873,8
10606,40619,8
10755,56353,8
10821,28274,8
10860,40592,8
11171,3037,8
11752,59450,8
12390,51578,8
12401,61013,8
12607,25022,8
12905,42424,8
13017,10286,8
13235,38770,8
14635,5567,8
14896,3426,8
15172,57422,8
16013,23950,8
16377,17430,8
17021,31460,8
17563,4267,8
18244,16941,8
18364,48898,8
18640,48166,8
19357,30792,8
19424,24350,8
20147,14295,8
20331,1700,8
20545,59708,8
20877,21955,8
20953,17877,8
21264,43012,8
22066,58527,8
22950,13069,8
23646,48443,8
23701,17140,8
24104,12980,8
24385,49156,8
24927,7416,8
25408,21386,8
25532,35807,8
25703,54463,8
25808,61640,8
